id,title,description,link,image_link,availability,price,sale_price,brand,gtin,product_type,google_product_category
302000,FZ Forza Power 996 Badminton Racket,,https://www.onlinebadminton.co.uk/power-996?utm_source=google_shopping&utm_medium=cpp&utm_campaign=direct_link,https://badmintonracket.cdn.shoprenter.hu/custom/badmintonracket/image/cache/w600h600m00wt1/product/996.png?v=1577309408,in stock,188.17 GBP,106.91 GBP,FZ Forza,5711308865035,Badminton Rackets,
302186,FZ Forza Power 988 S Color-Up Badminton Racket,,https://www.onlinebadminton.co.uk/power-988-s-color-up?utm_source=google_shopping&utm_medium=cpp&utm_campaign=direct_link,https://badmintonracket.cdn.shoprenter.hu/custom/badmintonracket/image/cache/w600h600m00wt1/product/988s.png?v=1577309408,in stock,171.07 GBP,102.63 GBP,FZ Forza,5711308982756,Badminton Rackets,
302187,FZ Forza Power 988 M Color-Up Badminton Racket,,https://www.onlinebadminton.co.uk/power-988-m-color-up?utm_source=google_shopping&utm_medium=cpp&utm_campaign=direct_link,https://badmintonracket.cdn.shoprenter.hu/custom/badmintonracket/image/cache/w600h600m00wt1/product/988m.png?v=1577309408,in stock,171.07 GBP,102.63 GBP,FZ Forza,5714522930640,Badminton Rackets,
302140,FZ Forza Light 9 Badminton Racket,,https://www.onlinebadminton.co.uk/light-9?utm_source=google_shopping&utm_medium=cpp&utm_campaign=direct_link,https://badmintonracket.cdn.shoprenter.hu/custom/badmintonracket/image/cache/w600h600m00wt1/product/light9.png?v=1577222526,in stock,171.07 GBP,111.18 GBP,FZ Forza,5711308967685,Badminton Rackets,
301404/0099/XS,FZ Forza Ajax Mens Shorts (White),,https://www.onlinebadminton.co.uk/fz-forza-ajax-0099-xs?utm_source=google_shopping&utm_medium=cpp&utm_campaign=direct_link,https://badmintonracket.cdn.shoprenter.hu/custom/badmintonracket/image/cache/w600h600m00wt1/product/fz%20forza%20ajax%20feher.png?v=1577222526,in stock,34.21 GBP,25.65 GBP,FZ Forza,5711308236293,Clothing,
301884,FZ Forza Mont Badminton/squash Bag,,https://www.onlinebadminton.co.uk/fz-forza-mont?utm_source=google_shopping&utm_medium=cpp&utm_campaign=direct_link,https://badmintonracket.cdn.shoprenter.hu/custom/badmintonracket/image/cache/w600h600m00wt1/product/FZ%20Mont.jpg?v=1577309408,in stock,34.21 GBP,25.65 GBP,FZ Forza,5711308804133,Bags,
301625/XXS,FZ Forza Levi Junior Tee,,https://www.onlinebadminton.co.uk/fz-forza-levi-xxs?utm_source=google_shopping&utm_medium=cpp&utm_campaign=direct_link,https://badmintonracket.cdn.shoprenter.hu/custom/badmintonracket/image/cache/w600h600m00wt1/product/levi.png?v=1577309408,in stock,29.94 GBP,12.82 GBP,FZ Forza,1000000002294,Clothing,
301862/XS,FZ Forza Maxime Womens Polo,,https://www.onlinebadminton.co.uk/fz-forza-maxime-xs?utm_source=google_shopping&utm_medium=cpp&utm_campaign=direct_link,https://badmintonracket.cdn.shoprenter.hu/custom/badmintonracket/image/cache/w600h600m00wt1/product/maxime.png?v=1577309408,in stock,38.49 GBP,12.82 GBP,FZ Forza,1000000003291,Clothing,
301865/XS,FZ Forza Matt Mens Tee,,https://www.onlinebadminton.co.uk/fz-forza-matt-xs?utm_source=google_shopping&utm_medium=cpp&utm_campaign=direct_link,https://badmintonracket.cdn.shoprenter.hu/custom/badmintonracket/image/cache/w600h600m00wt1/product/matt.png?v=1577309408,in stock,38.49 GBP,12.82 GBP,FZ Forza,1000000003130,Clothing,
301950/8,FZ Forza Marc Junior Tee,,https://www.onlinebadminton.co.uk/fz-forza-marc-jr-8?utm_source=google_shopping&utm_medium=cpp&utm_campaign=direct_link,https://badmintonracket.cdn.shoprenter.hu/custom/badmintonracket/image/cache/w600h600m00wt1/product/marc.png?v=1577309408,in stock,38.49 GBP,12.82 GBP,FZ Forza,1000000003000,Clothing,
301953/8,FZ Forza Max Junior Polo,,https://www.onlinebadminton.co.uk/fz-forza-max-jr-8?utm_source=google_shopping&utm_medium=cpp&utm_campaign=direct_link,https://badmintonracket.cdn.shoprenter.hu/custom/badmintonracket/image/cache/w600h600m00wt1/product/max%20polo.png?v=1577309408,in stock,38.49 GBP,12.82 GBP,FZ Forza,1000000003253,Clothing,
301726/0008/10,FZ Forza Laban Junior Jacket (Black),,https://www.onlinebadminton.co.uk/fz-forza-laban-jr-0008-10?utm_source=google_shopping&utm_medium=cpp&utm_campaign=direct_link,https://badmintonracket.cdn.shoprenter.hu/custom/badmintonracket/image/cache/w600h600m00wt1/product/laban%20fekete.png?v=1577309408,in stock,42.77 GBP,25.65 GBP,FZ Forza,5711308673401,Clothing,
301404/0008/XS,FZ Forza Ajax Mens Shorts (Black),,https://www.onlinebadminton.co.uk/fz-forza-ajax-0008-xs?utm_source=google_shopping&utm_medium=cpp&utm_campaign=direct_link,https://badmintonracket.cdn.shoprenter.hu/custom/badmintonracket/image/cache/w600h600m00wt1/product/fz%20forza%20ajax%20fekete.png?v=1577309408,in stock,34.21 GBP,25.65 GBP,FZ Forza,5711308236224,Clothing,
301730/10,FZ Forza Lance Junior Tee,,https://www.onlinebadminton.co.uk/fz-forza-lance-jr-10?utm_source=google_shopping&utm_medium=cpp&utm_campaign=direct_link,https://badmintonracket.cdn.shoprenter.hu/custom/badmintonracket/image/cache/w600h600m00wt1/product/fz%20lance.png?v=1577309408,in stock,29.94 GBP,12.82 GBP,FZ Forza,1000000018875,Clothing,
158/4/0,Victor IP 9RK Squash Racket,,https://www.onlinebadminton.co.uk/victor-ip-9rk?utm_source=google_shopping&utm_medium=cpp&utm_campaign=direct_link,https://badmintonracket.cdn.shoprenter.hu/custom/badmintonracket/image/cache/w600h600m00wt1/product/victor%20ip9rk%201.png?v=1577309408,in stock,153.96 GBP,106.91 GBP,Victor,4005543158405,Squash Rackets,
158/5/0,Victor IP 8 Squash Racket,,https://www.onlinebadminton.co.uk/victor-ip-8?utm_source=google_shopping&utm_medium=cpp&utm_campaign=direct_link,https://badmintonracket.cdn.shoprenter.hu/custom/badmintonracket/image/cache/w600h600m00wt1/product/victor%20ip8%201.png?v=1577309408,in stock,145.41 GBP,98.35 GBP,Victor,4005543158504,Squash Rackets,
167/4/0,Victor MP 140 TB Squash Racket,,https://www.onlinebadminton.co.uk/victor-mp-140-tb?utm_source=google_shopping&utm_medium=cpp&utm_campaign=direct_link,https://badmintonracket.cdn.shoprenter.hu/custom/badmintonracket/image/cache/w600h600m00wt1/product/victor%20mp%20140%20tb%201.png?v=1577309408,in stock,85.53 GBP,68.42 GBP,Victor,4005543167407,Squash Rackets,
8583/0008/XS,FZ Forza Zari Skirt (Black),,https://www.onlinebadminton.co.uk/fz-forza-zari-0008-xs?utm_source=google_shopping&utm_medium=cpp&utm_campaign=direct_link,https://badmintonracket.cdn.shoprenter.hu/custom/badmintonracket/image/cache/w600h600m00wt1/product/zarifekete%20uj.png?v=1577309408,in stock,34.21 GBP,25.65 GBP,FZ Forza,5700810644580,Clothing,
8583/0099/XS,FZ Forza Zari Skirt (White),,https://www.onlinebadminton.co.uk/fz-forza-zari-0099-xs?utm_source=google_shopping&utm_medium=cpp&utm_campaign=direct_link,https://badmintonracket.cdn.shoprenter.hu/custom/badmintonracket/image/cache/w600h600m00wt1/product/zarifeheruj.png?v=1577222526,in stock,34.21 GBP,25.65 GBP,FZ Forza,5700810644726,Clothing,
CH913,RSL Explorer 4.1 Badminton/squash Racket Bag,,https://www.onlinebadminton.co.uk/rsl-explorer?utm_source=google_shopping&utm_medium=cpp&utm_campaign=direct_link,https://badmintonracket.cdn.shoprenter.hu/custom/badmintonracket/image/cache/w600h600m00wt1/product/RSL%20explorer%204.1.png?v=1577309408,in stock,68.43 GBP,42.76 GBP,RSL,5707652245180,Bags,
RB930-RED,RSL Explorer 3.4 Extender Badminton/squash Racket Bag (Red),,https://www.onlinebadminton.co.uk/rsl-explorer-34-extender-?utm_source=google_shopping&utm_medium=cpp&utm_campaign=direct_link,https://badmintonracket.cdn.shoprenter.hu/custom/badmintonracket/image/cache/w600h600m00wt1/product/rsl%20extender%203.4.png?v=1577309408,in stock,85.53 GBP,55.59 GBP,RSL,5707652222068,Bags,
RB930-BLACK,RSL Explorer 3.4 Extender Badminton/squash Racket Bag (Black),,https://www.onlinebadminton.co.uk/rsl-explorer-34-extender?utm_source=google_shopping&utm_medium=cpp&utm_campaign=direct_link,https://badmintonracket.cdn.shoprenter.hu/custom/badmintonracket/image/cache/w600h600m00wt1/product/rsl%20extender%203.4%282%29.png?v=1577309408,in stock,85.53 GBP,55.59 GBP,RSL,5707652222051,Bags,
132/0/9,Victor Jetspeed S 12 Badminton Racket,,https://www.onlinebadminton.co.uk/victor-jetspeed-s12?utm_source=google_shopping&utm_medium=cpp&utm_campaign=direct_link,https://badmintonracket.cdn.shoprenter.hu/custom/badmintonracket/image/cache/w600h600m00wt1/product/js12.png?v=1577309408,in stock,213.83 GBP,132.57 GBP,Victor,4005543132092,Badminton Rackets,
132/0/5,Victor Jetspeed S 10 Badminton Racket,,https://www.onlinebadminton.co.uk/victor-jetspeed-s10?utm_source=google_shopping&utm_medium=cpp&utm_campaign=direct_link,https://badmintonracket.cdn.shoprenter.hu/custom/badmintonracket/image/cache/w600h600m00wt1/product/js10.png?v=1577309408,in stock,205.28 GBP,124.01 GBP,Victor,4005543132054,Badminton Rackets,
137/3/4,Victor Thruster K 330 green Badminton Racket,,https://www.onlinebadminton.co.uk/victor-thruster-k-330?utm_source=google_shopping&utm_medium=cpp&utm_campaign=direct_link,https://badmintonracket.cdn.shoprenter.hu/custom/badmintonracket/image/cache/w600h600m00wt1/product/victor%20thuster%20k330%201%20uj.png?v=1577309408,in stock,128.30 GBP,68.42 GBP,Victor,4005543137349,Badminton Rackets,
302414/0099/36,FZ Forza Fierce Badminton/squash Shoes,,https://www.onlinebadminton.co.uk/fz-forza-fierce-36?utm_source=google_shopping&utm_medium=cpp&utm_campaign=direct_link,https://badmintonracket.cdn.shoprenter.hu/custom/badmintonracket/image/cache/w600h600m00wt1/product/fierce.png?v=1577309408,in stock,76.98 GBP,55.59 GBP,FZ Forza,5711309079431,Badminton/squash Shoes,
301677/01115/36,FZ Forza Leander M Blue Badminton/squash Shoes,,https://www.onlinebadminton.co.uk/fz-forza-leander-m-01115-36?utm_source=google_shopping&utm_medium=cpp&utm_campaign=direct_link,https://badmintonracket.cdn.shoprenter.hu/custom/badmintonracket/image/cache/w600h600m00wt1/product/leander%20m%20uj.png?v=1577309408,in stock,59.87 GBP,47.03 GBP,FZ Forza,5711309083766,Badminton/squash Shoes,
301942/04101/36,FZ Forza Leander W Badminton/squash Shoes,,https://www.onlinebadminton.co.uk/fz-forza-leander-w-36?utm_source=google_shopping&utm_medium=cpp&utm_campaign=direct_link,https://badmintonracket.cdn.shoprenter.hu/custom/badmintonracket/image/cache/w600h600m00wt1/product/leander%20w%20uj.png?v=1577309408,in stock,59.87 GBP,47.03 GBP,FZ Forza,5711309116525,Badminton/squash Shoes,
302173/96,FZ Forza Tahsin 6 Badminton/squash Racket Bag,,https://www.onlinebadminton.co.uk/fz-forza-tahsin?utm_source=google_shopping&utm_medium=cpp&utm_campaign=direct_link,https://badmintonracket.cdn.shoprenter.hu/custom/badmintonracket/image/cache/w600h600m00wt1/product/tahsin%20uj1.png?v=1577309408,in stock,47.04 GBP,42.76 GBP,FZ Forza,5711309084725,Bags,
301648/0297,FZ Forza Lennon Light green Badminton/squash Backpack,,https://www.onlinebadminton.co.uk/fz-forza-lennon-0297?utm_source=google_shopping&utm_medium=cpp&utm_campaign=direct_link,https://badmintonracket.cdn.shoprenter.hu/custom/badmintonracket/image/cache/w600h600m00wt1/product/fz%20lennon%201.png?v=1577309408,in stock,47.04 GBP,29.93 GBP,FZ Forza,5711309081755,Bags,
941/36,Victor SH-S61 orange Badminton/squash Shoes,,https://www.onlinebadminton.co.uk/victor-sh-s61-orange-36?utm_source=google_shopping&utm_medium=cpp&utm_campaign=direct_link,https://badmintonracket.cdn.shoprenter.hu/custom/badmintonracket/image/cache/w600h600m00wt1/product/sh-s61%20orange%201.png?v=1577309408,in stock,94.09 GBP,76.97 GBP,Victor,1000000009323,Badminton/squash Shoes,
936/39,Victor AS-31 Badminton/squash Shoes,,https://www.onlinebadminton.co.uk/victor-as-31-39?utm_source=google_shopping&utm_medium=cpp&utm_campaign=direct_link,https://badmintonracket.cdn.shoprenter.hu/custom/badmintonracket/image/cache/w600h600m00wt1/product/as-31.png?v=1577309408,in stock,59.87 GBP,34.20 GBP,Victor,1000000006988,Badminton/squash Shoes,
943/36,Victor SH-A170 blue/green Badminton/squash Shoes,,https://www.onlinebadminton.co.uk/victor-sh-a170-bluegreen-36?utm_source=google_shopping&utm_medium=cpp&utm_campaign=direct_link,https://badmintonracket.cdn.shoprenter.hu/custom/badmintonracket/image/cache/w600h600m00wt1/product/sh-a170.png?v=1577309408,in stock,68.43 GBP,34.20 GBP,Victor,1000000008302,Badminton/squash Shoes,
201008/XS,RSL Skirt,,https://www.onlinebadminton.co.uk/rsl-skirt-xs?utm_source=google_shopping&utm_medium=cpp&utm_campaign=direct_link,https://badmintonracket.cdn.shoprenter.hu/custom/badmintonracket/image/cache/w600h600m00wt1/product/rsl%20szoknya.png?v=1577309408,in stock,29.94 GBP,21.37 GBP,RSL,5707652213240,Clothing,
201315/XS,RSL Pants Men,,https://www.onlinebadminton.co.uk/rsl-pants-xs?utm_source=google_shopping&utm_medium=cpp&utm_campaign=direct_link,https://badmintonracket.cdn.shoprenter.hu/custom/badmintonracket/image/cache/w600h600m00wt1/product/rsl%20melegitoalso.png?v=1577309408,in stock,29.94 GBP,21.37 GBP,RSL,5707652210911,Clothing,
301624/04151/XXS,FZ Forza Leah Junior Tee,,https://www.onlinebadminton.co.uk/fz-forza-leah-xxs?utm_source=google_shopping&utm_medium=cpp&utm_campaign=direct_link,https://badmintonracket.cdn.shoprenter.hu/custom/badmintonracket/image/cache/w600h600m00wt1/product/leah.png?v=1577309408,in stock,29.94 GBP,12.82 GBP,FZ Forza,1000000001792,Clothing,
6265/S,Victor 6265 orange National,,https://www.onlinebadminton.co.uk/victor-6265-orange-national-s?utm_source=google_shopping&utm_medium=cpp&utm_campaign=direct_link,https://badmintonracket.cdn.shoprenter.hu/custom/badmintonracket/image/cache/w600h600m00wt1/product/victor6265.png?v=1577309408,in stock,42.77 GBP,17.10 GBP,Victor,1000000006612,Clothing,
302360,FZ Forza Precision 10000 VS Badminton Racket,,https://www.onlinebadminton.co.uk/fz-forza-precision-10-000-vs?utm_source=google_shopping&utm_medium=cpp&utm_campaign=direct_link,https://badmintonracket.cdn.shoprenter.hu/custom/badmintonracket/image/cache/w600h600m00wt1/product/fzprecision10000vs.png?v=1577309408,in stock,188.17 GBP,102.63 GBP,FZ Forza,5711309085555,Badminton Rackets,
